Grant Name,Grant Address
Bonding Curve Research Group (BCRG),0x29567bdbcc92acf37ac6b56b69180857bb69f7d1
Commons Stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a
DataBites,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740
Dynamic Optimization Algorithm for Self-regulating Tokenomics,0x4c1a316de360e08817eb88dd31a0e7305005fb65
EVMcrispr,0x0035cc37599241d007d0aba1fb931c5fa757f7a1
HarbergerToken - A Decentraliazed Infra for Sustainable Funding of Open Source Proj.,0xd43d2f8c0d8844154583e20fbaa30ed1c1cccdba
Index Wallets,0x4f8c531df3d97c6cd437ac8dfe756975445d1161
Programmable Quantitative Token Model,0xfa2ba43521c72cc5594d725373b0c03fa3661922
Retroactive Thank you to Volunteers at Token Engineering Barcamp (EthCC Paris 2023),0x65f1303c261e34b7b99f0136ccbd58dedf6cefe9
SymVal,0x97d25ce39d27fbafc60c3bf50f2675c0eed71b5c
TE Career Builder for Womxn in Web 3,0xa1f01e5cc9562ed061b0e3dddd3e82ef69a1cebd
Towards an Industry Standard Python Library for Token Engineering,0x763d7d362b59aea3858a92a302e18cd41b1252d4
TurtleShell,0x99d5ce23335bffc8289f67eb2723270776f2785e
cadCAD: Computer Aided Design for Complex Systems,0x5041a1c1dcc760337e99b03db60feaf5f6f6c802
