index,Grant Name,grantAddress,matching,matching_boosted,Boost Percentage Change,ClusterMatch,Cluster Match Percentage Change,ClusterMatch Boosted,Cluster Match Boosted Percentage Change
0,Bonding Curve Research Group (BCRG),0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,5000.0,5000.0,0.0,17113.063671187163,242.26127342374326,17113.063671187163,242.26127342374326
1,DataBites,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740,3927.4905907438047,3642.441896620352,-7.257781719331093,2029.9934242715117,-48.313219920736636,2029.9934242715117,-48.313219920736636
2,Dynamic Optimization Algorithm for Self-regulating Tokenomics,0x4c1a316de360e08817eb88dd31a0e7305005fb65,3758.0953517546513,3595.6258084524434,-4.323188426455201,3341.917958026448,-11.074157379585655,3341.917958026448,-11.074157379585655
3,Index Wallets,0x4f8c531df3d97c6cd437ac8dfe756975445d1161,2995.9878412310995,2849.3261904881865,-4.895268556318553,3117.906403621447,4.069394431862894,3117.906403621447,4.069394431862894
4,Commons Stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,2943.6947039960733,3112.678112007047,5.740520842109684,16605.03482461454,464.0882120714884,16605.03482461454,464.0882120714884
5,EVMcrispr,0x0035cc37599241d007d0aba1fb931c5fa757f7a1,1224.4546706196109,1244.7250560610246,1.6554622990785206,6074.402087970662,396.09040119850516,6074.402087970662,396.09040119850516
6,Retroactive Thank you to Volunteers at Token Engineering Barcamp (EthCC Paris 2023),0x65f1303c261e34b7b99f0136ccbd58dedf6cefe9,1072.2301709231567,1298.881893847966,21.13834595137994,9427.30641897216,779.2241325251597,9427.30641897216,779.2241325251597
7,cadCAD: Computer Aided Design for Complex Systems,0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,988.31919002457,1084.364291902555,9.718024586327937,7563.385279856657,665.2775900940088,7563.385279856657,665.2775900940088
8,TurtleShell,0x99d5ce23335bffc8289f67eb2723270776f2785e,980.5218887311652,912.259516699856,-6.961840711138373,3934.813925199097,301.2979180190362,3934.813925199097,301.2979180190362
9,TE Career Builder for Womxn in Web 3,0xa1f01e5cc9562ed061b0e3dddd3e82ef69a1cebd,677.173473874882,737.0075833478271,8.835861382839747,4153.459243156248,513.3523245365134,4153.459243156248,513.3523245365134
10,Towards an Industry Standard Python Library for Token Engineering,0x763d7d362b59aea3858a92a302e18cd41b1252d4,446.1773991918866,514.5485432367122,15.32375780769241,4361.625769763099,877.5541696336132,4361.625769763099,877.5541696336132
11,Programmable Quantitative Token Model,0xfa2ba43521c72cc5594d725373b0c03fa3661922,404.8948704035044,437.01210945180856,7.9322415263738,3959.528471823731,877.9151975617276,3959.528471823731,877.9151975617276
12,SymVal,0x97d25ce39d27fbafc60c3bf50f2675c0eed71b5c,354.15265050897847,330.89042180845405,-6.568418637300209,1274.8473359198147,259.97114071789076,1274.8473359198147,259.97114071789076
13,HarbergerToken - A Decentraliazed Infra for Sustainable Funding of Open Source Proj.,0xd43d2f8c0d8844154583e20fbaa30ed1c1cccdba,226.80719799661608,240.23857607576704,5.921936427851533,2031.6292287866615,795.751654591215,2031.6292287866615,795.751654591215
