Grant Name,Direct Donations,Matching Funds Not Boosted,Matching Funds Boosted,Total Funding Boosted,Matching Funds Boost Percentage
Commons Stack,1383.93880186,7500.0,7500.0,8883.93880186,0.0
Bonding Curve Research Group (BCRG),290.17330446,3865.631513925693,7166.624849700272,7456.798154160271,85.39
cadCAD: Computer Aided Design for Complex Systems,162.53812798,3113.1533143452007,4867.330369357121,5029.868497337121,56.35
Metagov,152.01876559,3636.391217315474,4179.944308026489,4331.963073616489,14.95
PlaceCred: Exploring SourceCred for Place-based Reputation,351.34681386000005,3236.8315783609323,3697.017867592908,4048.364681452908,14.219999999999999
Mechanism Institute,130.95982577,2635.802998806928,3573.9020996820686,3704.8619254520686,35.589999999999996
EVMcrispr,166.16656821000004,3206.522409070091,3152.5973310124527,3318.763899222453,-1.68
Breadchain Cooperative,374.19458421999997,2741.1108457341143,2692.931058482822,3067.125642702822,-1.76
Index Wallets,127.88457985000001,1848.6487450353543,2133.1312618534475,2261.0158417034477,15.39
cadEVM,254.05355099999994,3229.391561455982,1984.8218078269942,2238.875358826994,-38.54
EIP-7265 Alliance - securing the future of ethereum,128.46424952,3033.3059217627774,1375.4522242671296,1503.9164737871297,-54.66
SymVal,448.19952321,2413.0191710936033,1371.152186968148,1819.351710178148,-43.18
LunCo - collaborative systems engineering,512.57608048,2375.3117924354606,1356.5113140173157,1869.0873944973157,-42.89
TurtleShell,116.44023682999999,2573.39602181597,1186.4135542499807,1302.8537910799807,-53.900000000000006
Public Nouns Operations,81.10973039000001,1824.7543229838097,1123.8174303331184,1204.9271607231185,-38.41
KaliBerger,75.70088372000001,1369.7194093501685,869.8693831025664,945.5702668225664,-36.49
Token Engineering Governance Education,33.45221646,375.88138368943953,652.138921199137,685.5911376591371,73.5
TE Career Builder for Womxn in Web 3,43.690658219999996,203.68438109974696,488.97103210536403,532.661690325364,140.06
Ecofrontiers: Crypto Natural Capital Aggregator,87.42291420000001,325.37993028794745,328.91665992343195,416.33957412343193,1.09
tokensight,186.20022647,492.063481431309,298.4563402992381,484.6565667692381,-39.35
